 ,Area,Mean,Min,Max,Angle,Length
1,71.229,137.169,80.758,218.396,53.505,102.993
2,84.437,171.020,69.809,230.422,57.056,121.922
3,97.173,125.862,65.110,196.907,-91.507,140.735
4,89.625,93.569,45.161,129.538,12.706,130.072
5,84.908,127.673,70.180,198.103,-84.806,122.679
6,79.248,78.058,35.365,121.505,-93.085,114.864
7,85.852,83.655,34.441,165.228,23.301,124.229
8,106.135,88.715,57.762,149.715,16.531,153.774
9,91.512,101.317,44.529,216.568,11.709,132.677
10,84.908,99.874,46.969,189.414,35.391,122.620
11,87.267,86.761,55.355,176.092,11.190,126.601
12,80.191,105.266,57.763,164.964,-85.167,115.855
